CarClass,MakeModel,ReviewScore,AvgPaidPrice,MpgCity,MpgHwy,IsLuxury,IsHybridOrElectric,IsSports
AFFORDABLE SMALL CARS,HONDA FIT,8.7,16790.5,33.0,40.0,False,False,False
AFFORDABLE SMALL CARS,VOLKSWAGEN GTI,8.6,25174.5,25.0,31.0,False,False,False
AFFORDABLE SMALL CARS,CHEVROLET CRUZE,8.5,16985.5,28.0,38.0,False,False,False
AFFORDABLE SMALL CARS,KIA SOUL,8.5,22090.0,26.0,31.0,False,False,False
AFFORDABLE SMALL CARS,CHEVROLET SONIC,8.4,15104.0,26.0,34.0,False,False,False
AFFORDABLE SMALL CARS,KIA FORTE,8.4,16448.5,31.0,41.0,False,False,False
AFFORDABLE SMALL CARS,MINI COOPER,8.4,26781.5,28.0,38.0,False,False,False
AFFORDABLE SMALL CARS,HYUNDAI ACCENT,8.3,14939.5,28.0,38.0,False,False,False
AFFORDABLE SMALL CARS,MAZDA MAZDA3,8.3,20661.0,26.0,35.0,False,False,False
AFFORDABLE SMALL CARS,CHEVROLET BOLT,8.2,26537.0,,,False,False,False
AFFORDABLE SMALL CARS,HONDA CIVIC,8.2,27246.5,30.0,38.0,False,False,False
AFFORDABLE SMALL CARS,HYUNDAI VELOSTER,8.2,17981.5,25.0,33.0,False,False,False
AFFORDABLE SMALL CARS,HYUNDAI ELANTRA,8.1,17314.5,26.0,36.0,False,False,False
AFFORDABLE SMALL CARS,KIA RIO,8.1,13282.0,28.0,37.0,False,False,False
AFFORDABLE SMALL CARS,TOYOTA YARIS,8.1,14922.0,32.0,40.0,False,False,False
AFFORDABLE SMALL CARS,HYUNDAI IONIQ,8.0,22078.0,57.0,59.0,False,False,False
AFFORDABLE SMALL CARS,VOLKSWAGEN GOLF,8.0,26826.5,29.0,37.0,False,False,False
AFFORDABLE SMALL CARS,FORD FIESTA,7.9,14872.5,27.0,35.0,False,False,False
AFFORDABLE SMALL CARS,HONDA INSIGHT,7.9,21125.0,51.0,45.0,False,False,False
AFFORDABLE SMALL CARS,NISSAN LEAF,7.7,22438.0,124.0,99.0,False,False,False
AFFORDABLE SMALL CARS,SUBARU IMPREZA,7.7,20739.5,28.0,38.0,False,False,False
AFFORDABLE SMALL CARS,VOLKSWAGEN JETTA,7.7,20003.0,30.0,40.0,False,False,False
AFFORDABLE SMALL CARS,CHEVROLET SPARK,7.6,12857.5,30.0,38.0,False,False,False
AFFORDABLE SMALL CARS,MINI COOPER CLUBMAN,7.6,27346.0,24.0,33.0,False,False,False
AFFORDABLE SMALL CARS,TOYOTA PRIUS,7.6,22005.0,54.0,50.0,False,False,False
AFFORDABLE SMALL CARS,TOYOTA PRIUS PRIME,7.6,25368.0,,,False,False,False
