vin|year|make|model|trim|pricecategory|pricevariance|price|mileage|city|state|colorexterior|colorinterior|accidenthist|owner|usage
WBY1Z2C51FV286674|2015|BMW|i3|60 Ah|Fair Price|At or near avg. list price|15991|21493|Bellevue|WA|Silver|Gray|1 |2 |personal
2GNAXHEV4J6220616|2018|Chevrolet|Equinox|LS with 1LS FWD|Fair Price|$89 off avg. list price|14899|37071|Norco|CA|Black|Gray|no |1 |personal
4S3GTAD6XK3741106|2019|Subaru|Impreza|2.0i Premium 5-door CVT|Fair Price||19220|15914|Stafford|TX|Red|Beige|no |1 |personal
2C4RDGCG8KR551301|2019|Dodge|Grand Caravan|SXT|Excellent Price|$3005 off avg. list price|12993|42070|Ocala|FL|Gray|Black|no |1 |personal
5YFEPRAEXLP047434|2020|Toyota|Corolla|LE CVT|Excellent Price||13800|18725|Boerne|TX|White|Black|no |1 |personal
2HGFC3B78HH358355|2017|Honda|Civic|EX-L Coupe CVT|||9626|186240|Egg Harbor Township|NJ|Black|Black|1 |1 |personal
3N1AB7AP9KL610667|2019|Nissan|Sentra|SV CVT|Excellent Price||10899|35555|Wichita Falls|TX|Red|Black|no |2 |personal
3N1AB7AP2KY231948|2019|Nissan|Sentra|S CVT|Excellent Price|$1854 off avg. list price|8991|15305|Hollywood|FL|Silver|Black|no |1 |fleet
JTDEPRAE9LJ022450|2020|Toyota|Corolla|LE CVT|Excellent Price|$1152 off avg. list price|13999|10267|Newport Beach|CA|White|Unknown|no |1 |personal
3N1AB7AP4KY365425|2019|Nissan|Sentra|SV CVT|Excellent Price|$1944 off avg. list price|9900|18600|Scottsdale|AZ|Gray|Black|1 ||fleet
3FA6P0CD0KR233938|2019|Ford|Fusion|SEL FWD|Excellent Price|$2523 off avg. list price|10791|24686|Hollywood|FL|Black|Black|1 |1 |fleet
KNMAT2MT9KP537567|2019|Nissan|Rogue|SV FWD|Excellent Price|$1911 off avg. list price|14804|27162|Fontana|CA|White|Black|no |1 |personal
3FA6P0LU5KR117215|2019|Ford|Fusion|Hybrid SE FWD|Excellent Price|$1779 off avg. list price|15787|41596|Wichita|KS|Black|Gray|no |1 |personal
5YFEPRAE3LP023248|2020|Toyota|Corolla|LE CVT|Excellent Price||13785|19677|Boerne|TX|Red|Black|no |1 |personal
5XXGT4L35KG331256|2019|Kia|Optima|LX|Excellent Price|$2082 off avg. list price|14244|30306|Marina Del Rey|CA|White|Black|no |1 |personal
3N1AB7AP0KL626238|2019|Nissan|Sentra|SV CVT|Excellent Price|$1253 off avg. list price|10990|28600|Chantilly|VA|Gray|Black|no |1 |fleet
5YFEPRAE7LP011961|2020|Toyota|Corolla|LE CVT|Excellent Price||14500|14468|Boerne|TX|Silver|Gray|no |1 |personal
1GAZGPFP8K1179779|2019|Chevrolet|Express Passenger|3500 LT LWB|Excellent Price|$3093 off avg. list price|19402|35210|Concord|CA|White|Gray|no |1 |personal
1HGCR2F10HA294554|2017|Honda|Accord|Sport Special Edition Sedan CVT|Excellent Price|$2756 off avg. list price|16227|40599|Salisbury|MD|White|Black|no |1 |personal
2C4RDGCGXKR600336|2019|Dodge|Grand Caravan|SXT|Excellent Price|$2221 off avg. list price|18388|21902|Chehalis|WA|White|Black|no |1 |personal
5YFEPRAE1LP051565|2020|Toyota|Corolla|LE CVT|Excellent Price||14000|17614|Boerne|TX|Silver|Black|no |1 |personal
5YFEPRAE6LP045955|2020|Toyota|Corolla|LE CVT|Excellent Price||14800|13653|Boerne|TX|White|Black|no |1 |personal
1GAZGPFG0K1173135|2019|Chevrolet|Express Passenger|3500 LT LWB|Excellent Price|$3999 off avg. list price|19097|33375|Overland Park|KS|Silver|Gray|no |1 |personal
1GAZGPFP5K1279130|2019|Chevrolet|Express Passenger|3500 LT LWB|Excellent Price|$3204 off avg. list price|18875|28164|Farmington|NM|White|Gray|no |1 |fleet
3FA6P0LU1KR187942|2019|Ford|Fusion|Hybrid SE FWD|Excellent Price|$1960 off avg. list price|15349|18378|Chatom|AL|Gray|Unknown|1 |1 |personal
KNMAT2MT0KP529843|2019|Nissan|Rogue|SV FWD|Excellent Price|$1776 off avg. list price|18552|30841|Las Cruces|NM|Gray|Black|no |1 |personal
5YFEPRAE3LP098922|2020|Toyota|Corolla|LE CVT|Excellent Price||15500|8797|Boerne|TX|Black|Unknown|no |1 |personal
3N1AB7APXKY302054|2019|Nissan|Sentra|SV CVT|Excellent Price|$1038 off avg. list price|10716|26402|Tampa|FL|Silver|Black|no |1 |personal
5YFEPRAE2LP040526|2020|Toyota|Corolla|LE CVT|Excellent Price||14487|12164|San Antonio|TX|White|Black|no |1 |personal
5YFEPRAE8LP049506|2020|Toyota|Corolla|LE CVT|Excellent Price||14500|15009|Boerne|TX|Silver|Black|no |1 |personal
