vin,year,make,model,trim,pricecategory,price,mileage,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,cartype,ReliabilityRank,CostOfLivingRank,CostOfLivingIndex,TransportationIndex,BrandPercentSales,BrandAvgDaysToTurn,CarClass,ReviewScore,AvgMPG
WBY1Z2C51FV286674,2015,BMW,I3,60 AH,FAIR PRICE,15991,21493,BELLEVUE,WA,SILVER,GRAY,1,2,PERSONAL,N,HATCHBACK,8.0,39,112.2,118.6,1.7781767945930906,74.0,LUXURY HYBRID CARS,7.5,113.0
2GNAXHEV4J6220616,2018,CHEVROLET,EQUINOX,LS WITH 1LS FWD,FAIR PRICE,14899,37071,NORCO,CA,BLACK,GRAY,0,1,PERSONAL,Y,SUV,9.0,49,142.7,133.0,11.692583720044867,78.23076923076923,AFFORDABLE COMPACT SUVS,8.4,29.0
4S3GTAD6XK3741106,2019,SUBARU,IMPREZA,2.0I PREMIUM 5-DOOR CVT,FAIR PRICE,19220,15914,STAFFORD,TX,RED,BEIGE,0,1,PERSONAL,N,SEDAN,23.0,14,91.7,91.1,4.128452974634556,23.23076923076923,AFFORDABLE SMALL CARS,7.7,33.0
2C4RDGCG8KR551301,2019,DODGE,GRAND CARAVAN,SXT,EXCELLENT PRICE,12993,42070,OCALA,FL,GRAY,BLACK,0,1,PERSONAL,Y,VAN/MINIVAN,25.0,27,99.2,98.7,2.126715603110482,98.53846153846153,MINIVANS,6.8,21.0
5YFEPRAEXLP047434,2020,TOYOTA,COROLLA,LE CVT,EXCELLENT PRICE,13800,18725,BOERNE,TX,WHITE,BLACK,0,1,PERSONAL,N,HATCHBACK,5.0,14,91.7,91.1,12.1872269830779,43.23076923076923,HATCHBACKS,7.9,32.0
2HGFC3B78HH358355,2017,HONDA,CIVIC,EX-L COUPE CVT,NAN,9626,186240,EGG HARBOR TOWNSHIP,NJ,BLACK,BLACK,1,1,PERSONAL,N,SEDAN,18.0,43,122.4,108.7,8.336902292535045,48.69230769230769,AFFORDABLE SMALL CARS,8.2,34.0
3N1AB7AP9KL610667,2019,NISSAN,SENTRA,SV CVT,EXCELLENT PRICE,10899,35555,WICHITA FALLS,TX,RED,BLACK,0,2,PERSONAL,N,SEDAN,16.0,14,91.7,91.1,6.28802759768661,76.23076923076923,AFFORDABLE SMALL CARS,7.2,33.0
3N1AB7AP2KY231948,2019,NISSAN,SENTRA,S CVT,EXCELLENT PRICE,8991,15305,HOLLYWOOD,FL,SILVER,BLACK,0,1,FLEET,Y,SEDAN,16.0,27,99.2,98.7,6.28802759768661,76.23076923076923,AFFORDABLE SMALL CARS,7.2,33.0
JTDEPRAE9LJ022450,2020,TOYOTA,COROLLA,LE CVT,EXCELLENT PRICE,13999,10267,NEWPORT BEACH,CA,WHITE,UNKNOWN,0,1,PERSONAL,Y,HATCHBACK,5.0,49,142.7,133.0,12.1872269830779,43.23076923076923,HATCHBACKS,7.9,32.0
3N1AB7AP4KY365425,2019,NISSAN,SENTRA,SV CVT,EXCELLENT PRICE,9900,18600,SCOTTSDALE,AZ,GRAY,BLACK,1,0,FLEET,Y,SEDAN,16.0,29,100.1,105.6,6.28802759768661,76.23076923076923,AFFORDABLE SMALL CARS,7.2,33.0
