yearmakemodel,price,milerange,location,hotcar,pricediff,timeonmkt,pricechange,trim,transmission,engine,drivetrain,VIN,fueltype,exteriorcol,interiorcol,condition,odometer,mpg,bodytype,heatedseats,leather,sunmoomroof,powerseat,premiumwheels
2016 Chevrolet Silverado 1500 Work Truck,$15849,61k Miles,Miami FL,Hot Car,24%,52,-$1150,Work Truck,Automatic,EcoTec3 5.3L V8,RWD,1GCNCNEC2GZ369266,Gasoline,Summit White,Dark Ash/Jet Black,Used,61241,16 city / 23 hwy,Pickup,False,False,False,False,False
2017 Cadillac XT5 Base,$21995,38k Miles,Miami FL,Hot Car,9%,24,-$4,Base,Automatic,3.6L V6 DI VVT,FWD,1GYKNARS6HZ139930,Gasoline,Crystal White Tricoat,Cirrus,Used,38066,19 city / 27 hwy,Suv,False,True,False,True,False
2018 GMC Terrain SLE,$18498,33k Miles,Miami FL,?,2%,18,$0,SLE,Automatic,2.0L Turbocharged,FWD,3GKALMEX8JL204370,Gasoline,Coppertino Metallic,Jet Black,Used,33104,22 city / 28 hwy,Suv,False,False,False,False,True
2017 Hyundai Elantra SE,$10395,35k Miles,Miami FL,Hot Car,17%,49,-$103,SE,Automatic,2.0L 4-Cylinder DOHC 16V,FWD,5NPD84LF1HH086421,Gasoline,Quartz White Pearl,Beige,Used,35347,29 city / 38 hwy,Sedan,False,False,False,False,True
2016 Hyundai Sonata Sport,$11849,42k Miles,Miami FL,?,20%,14,$0,Sport,Automatic,2.4L I4 DGI DOHC 16V ULEV II 185hp,FWD,5NPE34AF9GH426144,Gasoline,Quartz White Pearl,Black,Used,42338,25 city / 36 hwy,Sedan,True,True,True,True,True
2018 Toyota Corolla LE,$11949,21k Miles,Miami FL,?,18%,86,-$49,LE,Automatic,1.8L I4 DOHC Dual VVT-i,FWD,5YFBURHE6JP780062,Gasoline,Gray Metallic,Black,Used,21476,28 city / 35 hwy,Sedan,False,False,False,False,False
2017 Lexus ES 350 Base,$22349,40k Miles,Miami FL,?,13%,32,-$1650,Base,Automatic,3.5L V6 DOHC Dual VVT-i 24V,FWD,JTHBK1GG2H2251743,Gasoline,Caviar,Parchment,Used,39795,21 city / 30 hwy,Sedan,False,True,True,True,True
2019 Buick Cascada Premium,$22998,14k Miles,Miami FL,?,11%,18,$0,Premium,Automatic,1.6L 4-Cylinder,FWD,W04WH3N50KG328886,Gasoline,Flip Chip Silver Metallic,Jet black,Used,13683,21 city / 29 hwy,Convertible,True,True,False,True,False
2016 Porsche Cayenne Base,$34999,50k Miles,Miami FL,?,3%,99,+$1211,Base,Automatic,3.6L V6,AWD,WP1AA2A2XGKA38068,Gasoline,Meteor Gray Metallic,Black,Used,49576,19 city / 24 hwy,Suv,False,True,False,True,False
2016 Dodge Dart SXT Sport,$8449,54k Miles,West Palm Beach  FL,?,22%,74,-$46,SXT Sport,Automatic,2.0L I4 DOHC,FWD,1C3CDFFA7GD817350,Flex fuel,Bright White Clearcoat,Black,Used,54071,?,Sedan,False,False,False,False,False
2004 Chevrolet SSR LS,$18895,46k Miles,West Palm Beach  FL,Hot Car,11%,46,-$104,LS,Automatic,Vortec 5.3L V8 SFI,RWD,1GCES14P84B107868,Gasoline,Ricochet Silver Metallic,Ebony,Used,45761,14 city / 18 hwy,Pickup,False,True,False,True,True
2018 Honda Civic Si,$18349,33k Miles,West Palm Beach  FL,Hot Car,11%,74,-$1650,Si,Manual,1.5L I-4 DI DOHC Turbocharged,FWD,2HGFC1E54JH704499,Gasoline,White Orchid,Black,Used,32580,28 city / 38 hwy,Sedan,True,True,True,False,True
2020 Chevrolet Trax LS,$12999,7k Miles,West Palm Beach  FL,?,28%,80,-$499,LS,Automatic,ECOTEC 1.4L I4 SMPI DOHC Turbocharged VVT,FWD,3GNCJKSBXLL113859,Gasoline,Summit White,Jet Black,Used,6725,26 city / 31 hwy,Wagon,False,False,False,False,True
2017 Mazda Mazda3 Touring,$12998,44k Miles,West Palm Beach  FL,?,9%,4,-$1,Touring,Automatic,SKYACTIV?-G 2.0L 4-Cylinder DOHC 16V,FWD,3MZBN1V74HM133243,Gasoline,Deep Crystal Blue Mica,Black,Used,44486,28 city / 37 hwy,Sedan,True,True,True,True,True
2017 Hyundai Sonata Sport,$14497,22k Miles,West Palm Beach  FL,?,14%,18,-$2,Sport,Automatic,2.4L I4 DGI DOHC 16V ULEV II 185hp,FWD,5NPE34AF0HH572594,Gasoline,Scarlet Red,Gray,Used,22349,25 city / 36 hwy,Sedan,True,True,True,True,True
2017 Kia Sorento LX,$15449,29k Miles,West Palm Beach  FL,?,16%,31,-$48,LX,Automatic,2.4L DOHC,FWD,5XYPG4A36HG247071,Gasoline,Ebony Black,Beige,Used,29011,21 city / 28 hwy,Suv,True,True,False,False,True
2017 Honda Accord Hybrid Base,$15797,45k Miles,West Palm Beach  FL,?,14%,43,-$201,Base,Automatic,2.0L 4-Cylinder DOHC 16V i-VTEC,FWD,JHMCR6F36HC010323,Hybrid,White Orchid Pearl,Ivory,Used,44776,49 city / 47 hwy,Sedan,False,False,False,True,True
2017 Buick Encore Preferred,$12599,31k Miles,West Palm Beach  FL,?,19%,193,-$400,Preferred,Automatic,ECOTEC 1.4L I4 SMPI DOHC Turbocharged VVT,FWD,KL4CJASB2HB153228,Gasoline,Black carbon metallic,Ebony,Used,30826,25 city / 33 hwy,Suv,False,True,False,True,True
2017 Mercedes-Benz E-Class E 300,$27499,55k Miles,West Palm Beach  FL,Hot Car,5%,12,-$500,E 300,Automatic,I4,RWD,WDDZF4JB6HA047686,Gasoline,Obsidian Black Metallic,Black,Used,55332,22 city / 30 hwy,Sedan,False,True,True,True,True
2017 Honda Civic LX,$14494,15k Miles,West Palm Beach  FL,?,13%,25,-$5,LX,Automatic,2.0L I4 DOHC 16V i-VTEC,FWD,19XFC2F53HE220428,Gasoline,Modern Steel Metallic,Black,Used,15083,31 city / 40 hwy,Sedan,False,False,False,False,False
2017 Ford Fusion SE,$12499,27k Miles,West Palm Beach  FL,?,24%,57,+$1,SE,Automatic,1.5L EcoBoost,FWD,3FA6P0HD0HR308705,Gasoline,Ingot Silver,Ebony,Used,26615,23 city / 34 hwy,Sedan,False,False,False,True,True
2017 Mercedes-Benz C-Class C 300,$24495,23k Miles,Miami FL,?,14%,9,-$1504,C 300,Automatic,2.0L I4 Turbocharged,RWD,55SWF4JB6HU207178,Gasoline,Iridium Silver Metallic,Crystal Gray/Black,Used,23321,24 city / 34 hwy,Sedan,False,False,True,True,True
2017 Chevrolet Volt LT,$14997,26k Miles,Miami FL,?,19%,39,-$1,LT,Automatic,1.5L VVT DI DOHC 4-Cylinder Range Extender,FWD,1G1RA6S58HU155876,Plug-in hybrid,Pepperdust Metallic,Jet Black/Jet Black,Used,25581,43 city / 42 hwy,Hatchback,True,False,False,False,True
2019 Chevrolet Malibu LT,$15799,39k Miles,Miami FL,?,3%,4,$0,LT,Automatic,1.5L DOHC,FWD,1G1ZD5ST4KF161900,Gasoline,Mosaic Black Metallic,Jet Black,Used,38606,29 city / 36 hwy,Sedan,True,False,False,True,True
2018 Chevrolet Malibu LT,$13799,42k Miles,Miami FL,?,6%,4,$0,LT,Automatic,1.5L DOHC,FWD,1G1ZD5ST7JF247751,Gasoline,Cajun Red Tintcoat,Jet Black,Used,42245,27 city / 36 hwy,Sedan,False,False,False,True,True
2017 Honda Accord Sport Special Edition,$15999,31k Miles,Miami FL,?,17%,60,+$500,Sport Special Edition,Automatic,2.4L I4 DOHC i-VTEC 16V,FWD,1HGCR2F15HA036112,Gasoline,Obsidian Blue Pearl,Black,Used,31265,26 city / 34 hwy,Sedan,True,True,False,True,True
2019 Chrysler Pacifica Touring L,$20499,44k Miles,Miami FL,?,5%,8,-$1500,Touring L,Automatic,3.6L V6 24V VVT,FWD,2C4RC1BG3KR539834,Gasoline,Brilliant Black Crystal Pearlcoat,Black/Alloy,Used,44035,18 city / 28 hwy,Van,True,True,False,True,True
2017 Toyota Corolla SE,$11495,36k Miles,Miami FL,Hot Car,22%,170,-$1504,SE,Automatic,1.8L I4 DOHC Dual VVT-i,FWD,2T1BURHE3HC791787,Gasoline,Slate Metallic,Black,Used,36499,28 city / 36 hwy,Sedan,False,True,False,False,True
2020 Kia Sportage LX,$18995,14k Miles,Miami FL,?,14%,30,-$3,LX,Automatic,2.4L I4 DGI DOHC 16V,FWD,KNDPM3AC0L7634059,Gasoline,Clear White,Black,Used,14430,23 city / 30 hwy,Suv,False,False,False,False,True
2015 Volkswagen Tiguan SE,$11998,52k Miles,Miami FL,?,12%,7,-$1,SE,Automatic,2.0L 4-Cylinder Turbocharged,FWD,WVGAV7AX7FW572498,Gasoline,Deep Black Pearl,Beige,Used,52300,21 city / 26 hwy,Suv,True,True,True,True,True
2018 Chevrolet Malibu LT,$15949,10k Miles,Margate FL,?,15%,45,-$49,LT,Automatic,1.5L DOHC,FWD,1G1ZD5ST7JF220839,Gasoline,Blue Velvet Metallic,Jet Black,Used,10129,27 city / 36 hwy,Sedan,False,True,False,True,True
2016 Nissan Murano SV,$16998,36k Miles,Margate FL,?,19%,327,-$2001,SV,Automatic,3.5L V6 DOHC,FWD,5N1AZ2MGXGN104422,Gasoline,Cayenne Red Metallic,Black,Used,36379,21 city / 28 hwy,Suv,False,True,True,True,True
2016 Hyundai Sonata Limited,$15999,26k Miles,Margate FL,?,14%,23,-$1000,Limited,Automatic,2.4L I4 DGI DOHC 16V PZEV 185hp,FWD,5NPE34AF6GH424013,Gasoline,Phantom Black,Gray,Used,26280,25 city / 36 hwy,Sedan,True,True,True,True,True
2019 Kia Sorento EX Sport,$22997,23k Miles,Margate FL,?,12%,23,-$2,EX Sport,Automatic,V6,FWD,5XYPH4A59KG607424,Gasoline,Gravity Gray,Satin Black,Used,23234,19 city / 26 hwy,Suv,True,True,True,True,True
2016 Buick Encore Convenience,$10949,53k Miles,Margate FL,?,19%,163,-$2050,Convenience,Automatic,ECOTEC 1.4L I4 SMPI DOHC Turbocharged VVT,FWD,KL4CJBSB1GB529664,Gasoline,Summit White,Titanium,Used,53126,28 city / 34 hwy,Suv,False,True,False,True,False
2019 Volkswagen Passat 2.0T SE R-Line,$18449,18k Miles,Margate FL,?,14%,192,-$2851,2.0T SE R-Line,Automatic,2.0L I4 TSI Turbocharged,FWD,1VWMA7A3XKC001235,Gasoline,Silver,Black,Used,18155,25 city / 36 hwy,Sedan,True,True,True,True,True
2015 Nissan Xterra X,$14799,81k Miles,Margate FL,?,13%,62,-$200,X,Automatic,4.0L V6 DOHC,4WD,5N1AN0NW2FN654475,Gasoline,Super Black,Gray,Used,81130,15 city / 20 hwy,Suv,False,False,False,False,False
2017 Infiniti QX30 Luxury,$18899,28k Miles,Margate FL,?,12%,18,-$99,Luxury,Automatic,2.0L I4 Turbocharged,FWD,SJKCH5CP2HA032091,Gasoline,Graphite Shadow,Graphite,Used,27933,24 city / 33 hwy,Wagon,True,True,False,True,True
2018 Toyota RAV4 XLE,$19799,36k Miles,Margate FL,?,3%,18,$0,XLE,Automatic,2.5L 4-Cylinder DOHC Dual VVT-i,FWD,2T3WFREV6JW483699,Gasoline,Super White,Black,Used,36488,23 city / 30 hwy,Suv,False,True,True,False,True
2019 Nissan Pathfinder SV,$20999,29k Miles,Margate FL,?,3%,21,$0,SV,Automatic,V6,FWD,5N1DR2MN7KC635500,Gasoline,Brilliant Silver Metallic,Charcoal,Used,29138,20 city / 27 hwy,Suv,False,True,False,True,True
2020 Toyota Corolla LE,$14899,6k Miles,Margate FL,?,13%,267,-$1100,LE,Automatic,1.8L I4 DOHC 16V,FWD,JTDEPRAEXLJ018987,Gasoline,Red,Light Gray,Used,6305,30 city / 38 hwy,Sedan,False,False,False,False,False
2016 Hyundai Azera Base,$13997,34k Miles,Margate FL,?,18%,25,-$2,Base,Automatic,3.3L V6 DGI DOHC 24V,FWD,KMHFG4JG1GA569531,Gasoline,Diamond White Pearl,Camel,Used,33836,20 city / 29 hwy,Sedan,True,True,False,True,True
2017 Ford Escape SE,$11799,46k Miles,Margate FL,Hot Car,25%,205,-$750,SE,Automatic,1.5L EcoBoost,FWD,1FMCU0GD8HUC19069,Gasoline,White,Black,Used,45961,23 city / 30 hwy,Suv,False,False,False,True,True
2019 Dodge Grand Caravan GT,$15395,40k Miles,Margate FL,?,13%,75,-$2604,GT,Automatic,3.6L 6-Cylinder SMPI DOHC,FWD,2C4RDGEG3KR610784,Flex fuel,Billet Clearcoat,Black,Used,40115,17 city / 25 hwy,Van,True,True,False,True,True
2018 Nissan Sentra S,$10494,40k Miles,Margate FL,?,11%,38,-$1505,S,Automatic,1.8L 4-Cylinder DOHC 16V,FWD,3N1AB7AP6JY308416,Gasoline,Super Black,Charcoal,Used,39586,29 city / 37 hwy,Sedan,False,False,False,False,False
2017 Nissan Sentra SV,$9598,42k Miles,Margate FL,?,21%,17,-$1,SV,Automatic,1.8L 4-Cylinder DOHC 16V,FWD,3N1AB7AP9HY302877,Gasoline,Gun Metallic,Charcoal,Used,41973,29 city / 37 hwy,Sedan,False,False,False,False,False
2018 Volkswagen Jetta 1.4T S,$11399,35k Miles,Margate FL,?,10%,23,-$96,1.4T S,Automatic,1.4L TSI,FWD,3VW2B7AJXJM233110,Gasoline,Platinum Gray Metallic,Palladium Gray & Black,Used,34953,28 city / 38 hwy,Sedan,False,False,False,False,True
2017 Volkswagen Jetta 1.4T SE,$11299,54k Miles,Margate FL,?,11%,16,-$700,1.4T SE,Automatic,1.4L TSI,FWD,3VWDB7AJ6HM217036,Gasoline,Platinum Gray Metallic,Titan Black,Used,54046,28 city / 38 hwy,Sedan,True,True,True,False,True
2017 Volkswagen Jetta 1.4T SE,$11699,30k Miles,Margate FL,?,19%,38,-$1100,1.4T SE,Automatic,1.4L TSI,FWD,3VWDB7AJXHM322937,Gasoline,Cardinal Red Metallic,Titan Black,Used,29584,28 city / 38 hwy,Sedan,True,True,True,False,True
2017 Subaru Forester 2.5i Premium,$15549,45k Miles,Margate FL,?,21%,210,-$1450,2.5i Premium,Automatic,2.5L 4-Cylinder DOHC 16V VVT,AWD,JF2SJADC0HH454442,Gasoline,Crystal White Pearl,Gray,Used,45240,26 city / 32 hwy,Wagon,False,False,True,True,True
2016 Honda Fit EX,$11998,23k Miles,Margate FL,?,21%,224,-$500,EX,Automatic,1.5L I4,FWD,JHMGK5H73GX044808,Gasoline,Alabaster Silver Metallic,Black,Used,22960,32 city / 38 hwy,Hatchback,False,False,True,False,True
2017 Hyundai Elantra Value Edition,$11998,22k Miles,Margate FL,?,17%,17,-$2001,Value Edition,Automatic,2.0L 4-Cylinder DOHC 16V,FWD,KMHD84LF6HU341355,Gasoline,Black Diamond,Beige,Used,21851,28 city / 37 hwy,Sedan,True,False,True,True,True
2015 Volvo S60 T5 Drive-E Premier,$12949,30k Miles,Margate FL,?,33%,44,-$1050,T5 Drive-E Premier,Automatic,Drive-E 2.0L I4 16V Turbocharged,FWD,YV126MFK1F1343209,Gasoline,Caspian Blue Metallic,Soft Beige,Used,30206,25 city / 37 hwy,Sedan,False,True,True,True,True
2016 Hyundai Veloster Base,$7249,90k Miles,Margate FL,Hot Car,26%,42,-$750,Base,Automatic,1.6L I4 DGI DOHC 16V ULEV II 132hp,FWD,KMHTC6AD8GU260007,Gasoline,Century White,Black,Used,90403,28 city / 36 hwy,Coupe,False,False,False,False,True
2018 Infiniti QX30 Premium,$18998,33k Miles,Margate FL,?,11%,61,-$1,Premium,Automatic,2.0L I4 DOHC Turbocharged,FWD,SJKCH5CP4JA046662,Gasoline,Ink Blue,Wheat,Used,33447,24 city / 33 hwy,Wagon,True,True,False,True,True
2017 Ford Escape S,$14699,19k Miles,Margate FL,?,10%,32,-$1000,S,Automatic,2.5L i-VCT,FWD,1FMCU0F74HUB49503,Gasoline,Magnetic Metallic,Charcoal Black,Used,19387,21 city / 29 hwy,Suv,False,False,False,False,True
2018 Subaru Outback 2.5i,$15898,52k Miles,Margate FL,?,15%,165,-$1901,2.5i,Automatic,2.5L 4-Cylinder DOHC 16V,AWD,4S4BSAAC9J3386530,Gasoline,Twilight Blue Metallic,Titanium gray,Used,52383,25 city / 32 hwy,Wagon,False,False,False,False,True
2018 Toyota Camry L,$15249,31k Miles,Margate FL,?,19%,205,-$750,L,Automatic,2.5L I4 DOHC 16V,FWD,4T1B11HK5JU554898,Gasoline,Celestial Silver Metallic,Black,Used,31022,29 city / 41 hwy,Sedan,False,False,False,True,True
2017 Hyundai Sonata Sport,$12998,42k Miles,Margate FL,?,14%,18,-$1,Sport,Automatic,2.4L I4 DGI DOHC 16V ULEV II 185hp,FWD,5NPE34AF4HH502516,Gasoline,Dark Truffle,Beige,Used,42128,25 city / 36 hwy,Sedan,False,False,False,True,True
2016 Hyundai Veloster Turbo Turbo,$12449,37k Miles,Margate FL,Hot Car,11%,52,-$50,Turbo,Automatic,1.6L I4 DGI DOHC 16V,FWD,KMHTC6AE0GU258731,Gasoline,Boston Red,Black,Used,36504,?,Coupe,True,True,False,False,True
2017 Kia Niro LX,$14749,36k Miles,Margate FL,?,12%,46,-$250,LX,Automatic,1.6L I4,FWD,KNDCB3LC2H5039850,Hybrid,Aurora Black Pearl,Gray,Used,36317,51 city / 46 hwy,Wagon,False,False,False,False,True
2015 Mercedes-Benz GLA GLA 250 4MATIC,$14999,87k Miles,Margate FL,Hot Car,16%,4,$0,GLA 250 4MATIC,Automatic,2.0L I4 DI Turbocharged,AWD,WDCTG4GBXFJ101597,Gasoline,Mountain Gray Metallic,Ash,Used,86726,24 city / 32 hwy,Suv,False,False,False,True,True
