ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,ReviewScore,AvgMPG,age,odo,price,owner_0,owner_1,owner_2,usage_FLEET,usage_PERSONAL,LuxurySportsOrHybrid_N,LuxurySportsOrHybrid_U,LuxurySportsOrHybrid_Y,drivetrain_AWD,drivetrain_FWD,accidenthist_N,accidenthist_Y,colorexterior_BLACK,colorexterior_BLUE,colorexterior_GRAY,colorexterior_OTHER,colorexterior_RED,colorexterior_SILVER,colorexterior_WHITE,colorinterior_BEIGE,colorinterior_BLACK,colorinterior_GRAY,colorinterior_OTHER,bodytype_CONVERTIBLE,bodytype_COUPE,bodytype_HATCHBACK,bodytype_PICKUP,bodytype_SEDAN,bodytype_SUV,bodytype_TRUCK,bodytype_VAN/MINIVAN,bodytype_WAGON
8.0,39,1.7781767945930906,74.0,7.5,113.0,5,21.493,15.991,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
9.0,49,11.692583720044867,78.23076923076923,8.4,29.0,2,37.071,14.899,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
23.0,14,4.128452974634556,23.23076923076923,7.7,33.0,1,15.914,19.22,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,18.725,13.8,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
18.0,43,8.336902292535045,48.69230769230769,8.2,34.0,3,186.24,9.626,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,14,6.28802759768661,76.23076923076923,7.2,33.0,1,35.555,10.899,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,27,6.28802759768661,76.23076923076923,7.2,33.0,1,15.305,8.991,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,49,12.1872269830779,43.23076923076923,7.9,32.0,0,10.267,13.999,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
16.0,29,6.28802759768661,76.23076923076923,7.2,33.0,1,18.6,9.9,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10.0,27,13.832688602095642,71.61538461538461,8.2,26.0,1,24.686,10.791,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,1,27.162,14.804,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
10.0,2,13.832688602095642,71.61538461538461,8.2,26.0,1,41.596,15.787,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,19.677,13.785,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14.0,49,3.9890632445645786,73.38461538461539,8.4,28.5,1,30.306,14.244,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,31,6.28802759768661,76.23076923076923,7.2,33.0,1,28.6,10.99,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,14.468,14.5,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18.0,45,8.336902292535045,48.69230769230769,8.1,34.0,3,40.599,16.227,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,17.614,14.0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,13.653,14.8,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
10.0,8,13.832688602095642,71.61538461538461,8.2,26.0,1,18.378,15.349,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16.0,4,6.28802759768661,76.23076923076923,7.4,29.5,1,30.841,18.552,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,8.797,15.5,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16.0,27,6.28802759768661,76.23076923076923,7.2,33.0,1,26.402,10.716,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,12.164,14.487,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,15.009,14.5,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,33,12.1872269830779,43.23076923076923,7.9,32.0,0,17.185,15.579,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,13,12.1872269830779,43.23076923076923,8.7,35.0,1,31.506,16.486,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,14,12.1872269830779,43.23076923076923,7.9,32.0,0,22.06,14.5,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,2,72.603,12.499,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3.0,27,1.0989843197019002,82.92307692307692,7.9,22.0,1,22.787,27.895,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25.0,10,2.126715603110482,98.53846153846153,8.0,22.5,1,32.338,27.96,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
22.0,49,2.208680273976825,57.92307692307692,7.9,28.5,3,9.587,22.995,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,4,2.126715603110482,98.53846153846153,5.5,22.0,1,23.863,20.597,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
22.0,9,2.208680273976825,57.92307692307692,8.4,19.0,2,12.166,21.995,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16.0,9,6.28802759768661,76.23076923076923,7.7,33.5,5,118.726,7.995,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,1,26.642,15.097,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14.0,4,3.9890632445645786,73.38461538461539,8.4,28.5,0,13.832,17.0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,39,6.28802759768661,76.23076923076923,7.7,33.5,5,64.274,9.5,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
18.0,27,8.336902292535045,48.69230769230769,8.2,34.0,7,88.615,8.351,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6.0,43,2.2234046752368357,58.76923076923077,7.8,30.5,6,47.784,10.495,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
10.0,27,13.832688602095642,71.61538461538461,7.9,31.0,1,27.81,7.491,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18.0,14,8.336902292535045,48.69230769230769,8.2,34.0,8,138.989,4.9,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,1,34.492,16.165,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13.0,49,4.156328806440607,79.07692307692308,8.1,31.0,3,49.0,9.99,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22.0,49,2.208680273976825,57.92307692307692,7.9,28.5,3,19.991,21.7,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10.0,27,13.832688602095642,71.61538461538461,7.9,31.0,1,28.705,8.958,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
14.0,27,3.9890632445645786,73.38461538461539,8.5,28.5,1,24.972,13.697,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
25.0,43,2.126715603110482,98.53846153846153,5.5,22.0,1,20.982,20.797,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
10.0,14,13.832688602095642,71.61538461538461,8.2,26.0,1,25.4,14.997,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
9.0,27,11.692583720044867,78.23076923076923,7.8,32.5,0,7.466,17.995,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9.0,18,11.692583720044867,78.23076923076923,7.8,32.5,0,12.071,20.302,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
10.0,14,13.832688602095642,71.61538461538461,8.2,26.0,1,25.509,14.997,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
13.0,14,4.156328806440607,79.07692307692308,8.3,33.0,1,20.467,10.999,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,19,12.1872269830779,43.23076923076923,7.5,19.0,1,29.678,29.7,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16.0,14,6.28802759768661,76.23076923076923,7.4,29.5,1,17.906,18.07,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10.0,38,13.832688602095642,71.61538461538461,8.2,26.0,1,36.159,15.8,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,11,6.28802759768661,76.23076923076923,7.4,29.5,1,33.523,15.049,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16.0,10,6.28802759768661,76.23076923076923,7.7,33.5,5,118.288,6.988,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,15,6.28802759768661,76.23076923076923,6.9,35.0,1,15.952,10.994,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14.0,27,3.9890632445645786,73.38461538461539,8.5,28.5,1,32.501,13.197,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5.0,46,12.1872269830779,43.23076923076923,7.5,19.0,1,11.481,32.995,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
16.0,23,6.28802759768661,76.23076923076923,7.4,29.5,1,33.014,16.995,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13.0,20,4.156328806440607,79.07692307692308,8.1,31.0,3,29.319,13.599,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,11,6.28802759768661,76.23076923076923,7.4,29.5,1,30.127,16.897,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
13.0,27,4.156328806440607,79.07692307692308,8.1,31.0,1,32.729,11.321,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18.0,52,8.336902292535045,48.69230769230769,8.2,34.0,7,87.7,9.995,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16.0,14,6.28802759768661,76.23076923076923,7.4,29.5,1,38.817,16.995,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16.0,10,6.28802759768661,76.23076923076923,7.4,29.5,1,23.724,16.954,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10.0,27,13.832688602095642,71.61538461538461,7.9,31.0,1,25.648,8.598,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,1,18.592,17.9,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
31.0,3,0.6898618253052382,94.76923076923077,8.0,20.5,1,11.0,24.981,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
14.0,14,3.9890632445645786,73.38461538461539,8.4,28.5,1,24.707,14.8,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,27,6.28802759768661,76.23076923076923,7.7,33.5,5,82.253,7.991,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
16.0,49,6.28802759768661,76.23076923076923,7.4,29.5,1,26.506,15.75,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
16.0,31,6.28802759768661,76.23076923076923,7.2,33.0,1,17.92,11.65,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,14,2.126715603110482,98.53846153846153,7.3,24.5,1,27.102,21.999,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,8,6.28802759768661,76.23076923076923,7.4,29.5,1,38.237,16.5,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13.0,27,4.156328806440607,79.07692307692308,8.1,31.0,3,115.844,5.5,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
