year,make,model,trim,odometer,state,colorexterior,colorinterior,accidenthist,owner,usage,price
2015,BMW,I3,60 AH,21493,WA,SILVER,GRAY,Y,2,PERSONAL,15991
2018,CHEVROLET,EQUINOX,LS WITH 1LS FWD,37071,CA,BLACK,GRAY,N,1,PERSONAL,14899
2019,SUBARU,IMPREZA,2.0I PREMIUM 5-DOOR CVT,15914,TX,RED,BEIGE,N,1,PERSONAL,19220
2019,DODGE,GRAND CARAVAN,SXT,42070,FL,GRAY,BLACK,N,1,PERSONAL,12993
2020,TOYOTA,COROLLA,LE CVT,18725,TX,WHITE,BLACK,N,1,PERSONAL,13800
2017,HONDA,CIVIC,EX-L COUPE CVT,186240,NJ,BLACK,BLACK,Y,1,PERSONAL,9626
2019,NISSAN,SENTRA,SV CVT,35555,TX,RED,BLACK,N,2,PERSONAL,10899
2019,NISSAN,SENTRA,S CVT,15305,FL,SILVER,BLACK,N,1,FLEET,8991
2020,TOYOTA,COROLLA,LE CVT,10267,CA,WHITE,UNKNOWN,N,1,PERSONAL,13999
2019,NISSAN,SENTRA,SV CVT,18600,AZ,GRAY,BLACK,Y,0,FLEET,9900
2019,FORD,FUSION,SEL FWD,24686,FL,BLACK,BLACK,Y,1,FLEET,10791
2019,NISSAN,ROGUE,SV FWD,27162,CA,WHITE,BLACK,N,1,PERSONAL,14804
2019,FORD,FUSION,HYBRID SE FWD,41596,KS,BLACK,GRAY,N,1,PERSONAL,15787
2020,TOYOTA,COROLLA,LE CVT,19677,TX,RED,BLACK,N,1,PERSONAL,13785
2019,KIA,OPTIMA,LX,30306,CA,WHITE,BLACK,N,1,PERSONAL,14244
2019,NISSAN,SENTRA,SV CVT,28600,VA,GRAY,BLACK,N,1,FLEET,10990
2020,TOYOTA,COROLLA,LE CVT,14468,TX,SILVER,GRAY,N,1,PERSONAL,14500
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,35210,CA,WHITE,GRAY,N,1,PERSONAL,19402
2017,HONDA,ACCORD,SPORT SPECIAL EDITION SEDAN CVT,40599,MD,WHITE,BLACK,N,1,PERSONAL,16227
2019,DODGE,GRAND CARAVAN,SXT,21902,WA,WHITE,BLACK,N,1,PERSONAL,18388
2020,TOYOTA,COROLLA,LE CVT,17614,TX,SILVER,BLACK,N,1,PERSONAL,14000
2020,TOYOTA,COROLLA,LE CVT,13653,TX,WHITE,BLACK,N,1,PERSONAL,14800
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,33375,KS,SILVER,GRAY,N,1,PERSONAL,19097
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,28164,NM,WHITE,GRAY,N,1,FLEET,18875
2019,FORD,FUSION,HYBRID SE FWD,18378,AL,GRAY,UNKNOWN,Y,1,PERSONAL,15349
2019,NISSAN,ROGUE,SV FWD,30841,NM,GRAY,BLACK,N,1,PERSONAL,18552
2020,TOYOTA,COROLLA,LE CVT,8797,TX,BLACK,UNKNOWN,N,1,PERSONAL,15500
2019,NISSAN,SENTRA,SV CVT,26402,FL,SILVER,BLACK,N,1,PERSONAL,10716
2020,TOYOTA,COROLLA,LE CVT,12164,TX,WHITE,BLACK,N,1,PERSONAL,14487
2020,TOYOTA,COROLLA,LE CVT,15009,TX,SILVER,BLACK,N,1,PERSONAL,14500
2020,TOYOTA,COROLLA,LE CVT,17185,CO,GRAY,BLACK,N,1,PERSONAL,15579
2019,TOYOTA,CAMRY,LE AUTOMATIC,31506,IA,WHITE,BLACK,N,1,PERSONAL,16486
2020,TOYOTA,COROLLA,LE CVT,22060,TX,WHITE,UNKNOWN,N,1,PERSONAL,14500
2018,NISSAN,ROGUE,S FWD,72603,CA,BLACK,BLACK,Y,1,PERSONAL,12499
2019,BUICK,ENCLAVE,ESSENCE FWD,22787,FL,GRAY,GRAY,N,1,PERSONAL,27895
2019,DODGE,DURANGO,GT PLUS RWD,32338,GA,GRAY,BLACK,N,1,PERSONAL,27960
2017,MERCEDES-BENZ,CCLASS,C 300 WITH SPORT PACKAGE SEDAN RWD,9587,CA,BLACK,BLACK,N,1,PERSONAL,22995
2019,DODGE,JOURNEY,GT AWD,23863,NM,WHITE,BLACK,N,1,PERSONAL,20597
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,25351,NM,WHITE,GRAY,N,1,FLEET,19190
2018,MERCEDES-BENZ,GLA,GLA 250 4MATIC,12166,IL,BLACK,BLACK,N,1,PERSONAL,21995
2015,NISSAN,ALTIMA,2.5,118726,IL,BLACK,UNKNOWN,N,2,PERSONAL,7995
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,34668,FL,WHITE,GRAY,N,1,PERSONAL,19397
2019,DODGE,GRAND CARAVAN,SXT,37605,OR,GRAY,BLACK,Y,1,PERSONAL,15500
2019,DODGE,GRAND CARAVAN,SXT,45611,NC,WHITE,BLACK,N,1,PERSONAL,14350
2019,DODGE,GRAND CARAVAN,SXT,33246,NM,BLACK,BLACK,N,1,PERSONAL,17450
2019,NISSAN,ROGUE,SV FWD,26642,CA,SILVER,BLACK,N,1,PERSONAL,15097
2020,KIA,OPTIMA,LX AUTOMATIC,13832,NM,WHITE,BLACK,N,1,PERSONAL,17000
2015,NISSAN,ALTIMA,2.5 S,64274,WA,WHITE,BLACK,N,3,FLEET,9500
