vin,make,model,pricecategory,price,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,bodytype,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain,age,odo
3N1CN7AP3KL827003,NISSAN,VERSA,EXCELLENT PRICE,11500.0,VIRGINIA BEACH,VA,BLUE,BLACK,N,1,PERSONAL,Y,SEDAN,16.0,31,6.28802759768661,76.23076923076924,6.9,35.0,N,FWD,1.0,10.6
1C6RR7TT6KS601567,RAM,1500 CLASSIC,EXCELLENT PRICE,27683.0,PORT LAVACA,TX,WHITE,BLACK,N,1,PERSONAL,N,PICKUP,19.0,14,4.144945910843808,98.15384615384615,7.9,28.5,U,AWD,1.0,28.361
5NPD84LF3KH485905,HYUNDAI,ELANTRA,FAIR PRICE,13580.0,WAYNE,NJ,SILVER,GRAY,N,1,PERSONAL,Y,SEDAN,13.0,43,4.156328806440607,79.07692307692308,8.1,31.0,N,FWD,1.0,11.981
5NPDH4AE6GH773581,HYUNDAI,ELANTRA,EXCELLENT PRICE,5500.0,ORLANDO,FL,WHITE,BEIGE,Y,2,FLEET,Y,SEDAN,13.0,27,4.156328806440607,79.07692307692308,8.1,31.0,N,FWD,4.0,78.395
4T1B11HK6KU232921,TOYOTA,CAMRY,GREAT PRICE,19590.0,BLUE MOUND,TX,SILVER,BLACK,N,1,PERSONAL,N,SEDAN,5.0,14,12.1872269830779,43.230769230769226,8.7,35.0,N,FWD,1.0,35.057
1C6RR6TT0KS697206,RAM,1500 CLASSIC,EXCELLENT PRICE,27994.0,LITTLE ROCK,AR,SILVER,BLACK,N,1,PERSONAL,Y,PICKUP,19.0,5,4.144945910843808,98.15384615384615,7.9,28.5,U,FWD,1.0,12.132
JN8AY2ND9K9090739,NISSAN,ARMADA,EXCELLENT PRICE,34590.0,BLUE MOUND,TX,BLACK,BLACK,N,1,PERSONAL,N,SUV,16.0,14,6.28802759768661,76.23076923076924,7.4,16.5,N,AWD,1.0,30.686
1GCSKSE39AZ192596,CHEVROLET,SILVERADO 1500,EXCELLENT PRICE,12897.0,RIVERDALE,UT,WHITE,BLACK,N,2,PERSONAL,Y,PICKUP,9.0,26,11.692583720044867,78.23076923076924,8.4,21.5,N,AWD,10.0,133.209
JM1BL1L56C1507674,MAZDA,MAZDA3,EXCELLENT PRICE,5000.0,COLUMBUS,GA,GRAY,BLACK,N,2,PERSONAL,Y,SEDAN,11.0,10,1.9291914970700141,60.07692307692307,8.3,30.5,N,FWD,8.0,146.56620378416707
1VWAT7A37EC116831,VOLKSWAGEN,PASSAT,EXCELLENT PRICE,9000.0,TACOMA,WA,WHITE,UNKNOWN,N,2,PERSONAL,Y,SEDAN,6.0,39,2.223404675236836,58.769230769230774,7.8,30.5,N,FWD,6.0,53.5
5XXGT4L38KG310997,KIA,OPTIMA,GREAT PRICE,13980.0,WINCHESTER,VA,SILVER,BLACK,N,2,PERSONAL,Y,SEDAN,14.0,31,3.9890632445645786,73.38461538461539,8.4,28.5,N,FWD,1.0,34.027
3C6RR7LT9KG617835,RAM,1500 CLASSIC,GREAT PRICE,27995.0,MINOT,ND,GRAY,BLACK,N,1,PERSONAL,Y,PICKUP,19.0,25,4.144945910843808,98.15384615384615,7.9,28.5,U,AWD,1.0,16.67
1C4HJXEG7KW657876,JEEP,WRANGLER,EXCELLENT PRICE,34643.531376481704,FORT WORTH,TX,ORANGE,BLACK,N,1,PERSONAL,N,SUV,26.0,14,5.534839958792396,74.23076923076924,7.1,21.0,N,FWD,1.0,15.096
1HGCP2F62CA043948,HONDA,ACCORD,EXCELLENT PRICE,8400.0,RICHMOND,VA,BLACK,UNKNOWN,Y,2,PERSONAL,Y,SEDAN,18.0,31,8.336902292535045,48.69230769230769,8.1,34.0,N,FWD,8.0,83.5
4JGDF7CEXEA345579,MERCEDES-BENZ,GL,EXCELLENT PRICE,25318.0,HANOVER,MA,WHITE,BEIGE,N,2,PERSONAL,Y,SUV,22.0,47,2.208680273976825,57.92307692307693,8.4,19.0,Y,FWD,6.0,73.563
5XXGT4L38KG351176,KIA,OPTIMA,EXCELLENT PRICE,14800.0,SAN ANTONIO,TX,BLACK,BLACK,N,1,FLEET,N,SEDAN,14.0,14,3.9890632445645786,73.38461538461539,8.4,28.5,N,FWD,1.0,24.707
5YFBURHE8HP691393,TOYOTA,COROLLA,EXCELLENT PRICE,12200.0,NEWPORT BEACH,CA,SILVER,BLACK,N,2,FLEET,Y,SEDAN,5.0,49,12.1872269830779,43.230769230769226,7.9,32.0,N,FWD,3.0,23.874
