Year,Make,Model,Category
2020,AUDI,Q3,SUV
2020,CHEVROLET,MALIBU,SEDAN
2020,CADILLAC,ESCALADE ESV,SUV
2020,CHEVROLET,CORVETTE,COUPE
2020,ACURA,RLX,SEDAN
2020,CHEVROLET,SILVERADO 2500 HD CREW CAB,PICKUP
2020,BMW,3 SERIES,SEDAN
2020,CHRYSLER,PACIFICA,VAN/MINIVAN
2020,CHEVROLET,COLORADO CREW CAB,PICKUP
2020,BMW,X3,SUV
2020,ACURA,TLX,SEDAN
2020,CHEVROLET,SILVERADO 3500 HD CREW CAB,PICKUP
2020,BMW,7 SERIES,SEDAN
2020,FORD,FUSION,SEDAN
2020,BUICK,ENVISION,SUV
2020,AUDI,SQ5,SUV
2020,AUDI,R8,COUPE
2020,CHEVROLET,TRAVERSE,SUV
2020,ACURA,MDX,SUV
2020,INFINITI,QX80,SUV
2020,BUICK,ENCORE,SUV
2020,GMC,SIERRA 2500 HD CREW CAB,PICKUP
2020,HONDA,INSIGHT,SEDAN
2020,CADILLAC,XT6,SUV
2020,CADILLAC,XT5,SUV
2020,CADILLAC,XT4,SUV
2020,BUICK,ENCLAVE,SUV
2020,AUDI,Q5,SUV
2020,HYUNDAI,SANTA FE,SUV
2020,FORD,ECOSPORT,SUV
2020,FORD,ESCAPE,SUV
2020,FORD,MUSTANG,COUPE
2020,HYUNDAI,SONATA,SEDAN
2020,FORD,EDGE,SUV
2020,CHEVROLET,CAMARO,CONVERTIBLE
2020,HYUNDAI,KONA ELECTRIC,SUV
2020,CHEVROLET,EQUINOX,SUV
2020,GMC,SIERRA 3500 HD CREW CAB,PICKUP
2020,JEEP,GLADIATOR,PICKUP
2020,BMW,X7,SUV
2020,CADILLAC,CT6V,SEDAN
2020,AUDI,A7,SEDAN
2020,CHEVROLET,BLAZER,SUV
2020,FORD,F150 SUPERCREW CAB,PICKUP
2020,CHEVROLET,SUBURBAN,SUV
2020,HONDA,CIVIC,SEDAN
2020,JEEP,COMPASS,SUV
2020,CADILLAC,ESCALADE,SUV
2020,CHRYSLER,VOYAGER,VAN/MINIVAN
2020,HONDA,ACCORD HYBRID,SEDAN
2020,GMC,TERRAIN,SUV
2020,CHEVROLET,SPARK,HATCHBACK
2020,GMC,SIERRA 1500 CREW CAB,PICKUP
2020,HYUNDAI,NEXO,SUV
2020,HYUNDAI,VELOSTER,COUPE
2020,CHEVROLET,SILVERADO 1500 CREW CAB,PICKUP
2020,GENESIS,G70,SEDAN
2020,CADILLAC,CT5,SEDAN
2020,HONDA,ODYSSEY,VAN/MINIVAN
2020,HYUNDAI,ELANTRA GT,HATCHBACK
2020,ACURA,RDX,SUV
2020,GMC,YUKON XL,SUV
2020,FORD,RANGER SUPERCAB,PICKUP
2020,FORD,EXPEDITION MAX,SUV
2020,HYUNDAI,KONA,SUV
2020,INFINITI,QX50,SUV
