colorexterior,colorinterior,accidenthist,owner,usage,price,age,odo,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,bodytype,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain
SILVER,GRAY,Y,2,PERSONAL,15.991,5,21.493,8.0,39,1.7781767945930906,74.0,HATCHBACK,7.5,113.0,Y,FWD
BLACK,GRAY,N,1,PERSONAL,14.899,2,37.071,9.0,49,11.692583720044867,78.23076923076923,SUV,8.4,29.0,N,FWD
RED,BEIGE,N,1,PERSONAL,19.22,1,15.914,23.0,14,4.128452974634556,23.23076923076923,SEDAN,7.7,33.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,13.8,0,18.725,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
BLACK,BLACK,Y,1,PERSONAL,9.626,3,186.24,18.0,43,8.336902292535045,48.69230769230769,SEDAN,8.2,34.0,N,FWD
RED,BLACK,N,2,PERSONAL,10.899,1,35.555,16.0,14,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
SILVER,BLACK,N,1,FLEET,8.991,1,15.305,16.0,27,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
WHITE,OTHER,N,1,PERSONAL,13.999,0,10.267,5.0,49,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
GRAY,BLACK,Y,0,FLEET,9.9,1,18.6,16.0,29,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
BLACK,BLACK,Y,1,FLEET,10.791,1,24.686,10.0,27,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,14.804,1,27.162,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
BLACK,GRAY,N,1,PERSONAL,15.787,1,41.596,10.0,2,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
RED,BLACK,N,1,PERSONAL,13.785,0,19.677,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,14.244,1,30.306,14.0,49,3.9890632445645786,73.38461538461539,SEDAN,8.4,28.5,N,FWD
GRAY,BLACK,N,1,FLEET,10.99,1,28.6,16.0,31,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
SILVER,GRAY,N,1,PERSONAL,14.5,0,14.468,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,16.227,3,40.599,18.0,45,8.336902292535045,48.69230769230769,SEDAN,8.1,34.0,N,FWD
SILVER,BLACK,N,1,PERSONAL,14.0,0,17.614,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,14.8,0,13.653,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
GRAY,OTHER,Y,1,PERSONAL,15.349,1,18.378,10.0,8,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
GRAY,BLACK,N,1,PERSONAL,18.552,1,30.841,16.0,4,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
BLACK,OTHER,N,1,PERSONAL,15.5,0,8.797,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
SILVER,BLACK,N,1,PERSONAL,10.716,1,26.402,16.0,27,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,14.487,0,12.164,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
SILVER,BLACK,N,1,PERSONAL,14.5,0,15.009,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
GRAY,BLACK,N,1,PERSONAL,15.579,0,17.185,5.0,33,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,16.486,1,31.506,5.0,13,12.1872269830779,43.23076923076923,SEDAN,8.7,35.0,N,FWD
WHITE,OTHER,N,1,PERSONAL,14.5,0,22.06,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
BLACK,BLACK,Y,1,PERSONAL,12.499,2,72.603,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
GRAY,GRAY,N,1,PERSONAL,27.895,1,22.787,3.0,27,1.0989843197019002,82.92307692307692,SUV,7.9,22.0,N,FWD
GRAY,BLACK,N,1,PERSONAL,27.96,1,32.338,25.0,10,2.126715603110482,98.53846153846153,SUV,8.0,22.5,N,AWD
BLACK,BLACK,N,1,PERSONAL,22.995,3,9.587,22.0,49,2.208680273976825,57.92307692307692,SEDAN,7.9,28.5,Y,AWD
WHITE,BLACK,N,1,PERSONAL,20.597,1,23.863,25.0,4,2.126715603110482,98.53846153846153,SUV,5.5,22.0,N,AWD
BLACK,BLACK,N,1,PERSONAL,21.995,2,12.166,22.0,9,2.208680273976825,57.92307692307692,SUV,8.4,19.0,Y,FWD
BLACK,OTHER,N,2,PERSONAL,7.995,5,118.726,16.0,9,6.28802759768661,76.23076923076923,SEDAN,7.7,33.5,N,FWD
SILVER,BLACK,N,1,PERSONAL,15.097,1,26.642,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
WHITE,BLACK,N,1,PERSONAL,17.0,0,13.832,14.0,4,3.9890632445645786,73.38461538461539,SEDAN,8.4,28.5,N,FWD
WHITE,BLACK,N,2,FLEET,9.5,5,64.274,16.0,39,6.28802759768661,76.23076923076923,SEDAN,7.7,33.5,N,FWD
BLACK,GRAY,Y,2,PERSONAL,8.351,7,88.615,18.0,27,8.336902292535045,48.69230769230769,SEDAN,8.2,34.0,N,FWD
WHITE,BLACK,Y,2,PERSONAL,10.495,6,47.784,6.0,43,2.2234046752368357,58.76923076923077,SEDAN,7.8,30.5,N,FWD
BLACK,GRAY,Y,1,PERSONAL,7.491,1,27.81,10.0,27,13.832688602095642,71.61538461538461,SEDAN,7.9,31.0,N,FWD
SILVER,GRAY,Y,2,FLEET,4.9,8,138.989,18.0,14,8.336902292535045,48.69230769230769,SEDAN,8.2,34.0,N,FWD
SILVER,BLACK,N,1,FLEET,16.165,1,34.492,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
SILVER,GRAY,N,1,FLEET,9.99,3,49.0,13.0,49,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
GRAY,BLACK,N,1,PERSONAL,21.7,3,19.991,22.0,49,2.208680273976825,57.92307692307692,SEDAN,7.9,28.5,Y,AWD
WHITE,BLACK,N,1,PERSONAL,8.958,1,28.705,10.0,27,13.832688602095642,71.61538461538461,SEDAN,7.9,31.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,13.697,1,24.972,14.0,27,3.9890632445645786,73.38461538461539,WAGON,8.5,28.5,N,FWD
WHITE,BLACK,N,1,PERSONAL,20.797,1,20.982,25.0,43,2.126715603110482,98.53846153846153,SUV,5.5,22.0,N,AWD
WHITE,OTHER,N,1,PERSONAL,14.997,1,25.4,10.0,14,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
SILVER,BLACK,N,1,PERSONAL,17.995,0,7.466,9.0,27,11.692583720044867,78.23076923076923,SEDAN,7.8,32.5,N,FWD
WHITE,BLACK,N,1,FLEET,20.302,0,12.071,9.0,18,11.692583720044867,78.23076923076923,SEDAN,7.8,32.5,N,FWD
WHITE,OTHER,N,1,PERSONAL,14.997,1,25.509,10.0,14,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
SILVER,BLACK,N,1,PERSONAL,10.999,1,20.467,13.0,14,4.156328806440607,79.07692307692308,SEDAN,8.3,33.0,N,FWD
SILVER,BLACK,N,1,PERSONAL,29.7,1,29.678,5.0,19,12.1872269830779,43.23076923076923,SUV,7.5,19.0,N,AWD
BLACK,BLACK,N,1,PERSONAL,18.07,1,17.906,16.0,14,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
BLACK,BLACK,N,1,PERSONAL,15.8,1,36.159,10.0,38,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
BLUE,BLACK,N,1,PERSONAL,15.049,1,33.523,16.0,11,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
BLACK,BLACK,Y,2,FLEET,6.988,5,118.288,16.0,10,6.28802759768661,76.23076923076923,SEDAN,7.7,33.5,N,FWD
BLACK,BLACK,Y,1,FLEET,10.994,1,15.952,16.0,15,6.28802759768661,76.23076923076923,SEDAN,6.9,35.0,N,FWD
GRAY,BLACK,N,1,PERSONAL,13.197,1,32.501,14.0,27,3.9890632445645786,73.38461538461539,WAGON,8.5,28.5,N,FWD
SILVER,OTHER,N,1,PERSONAL,32.995,1,11.481,5.0,46,12.1872269830779,43.23076923076923,SUV,7.5,19.0,N,AWD
GRAY,BLACK,N,1,FLEET,16.995,1,33.014,16.0,23,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
