vin|year|make|model|trim|pricecategory|pricevariance|price|mileage|city|state|colorexterior|colorinterior|accidenthist|owner|usage
4JGDF6EE7KB183780|2019|Mercedes-Benz|GLS|GLS 450 4MATIC SUV|Fair Price|At or near avg. list price|45996|28537|Fort Lauderdale|FL|Black|Black|no| 1| personal
5XXGN4A70FG352795|2015|Kia|Optima|EX|Great Price|$220 off avg. list price|11999|50028|Bellflower|CA|Black|Beige|no| 2| personal
1HGCR2F51DA199322|2013|Honda|Accord|Sport Sedan I4 CVT|Fair Price|At or near avg. list price|10599|109932|Santa Ana|CA|Unknown|Unknown|no| 2| fleet
2C4RDGCG8KR551301|2019|Dodge|Grand Caravan|SXT|Excellent Price|$3004 off avg. list price|12993|42070|Ocala|FL|Gray|Black|no| 1| personal
3N1AB7AP5JL640666|2018|Nissan|Sentra|SV CVT|||10000|18430|Honolulu|HI|Silver|Black|1| 1| fleet
3N1AB7AP2KY231948|2019|Nissan|Sentra|S CVT|Excellent Price|$1853 off avg. list price|8991|15305|Hollywood|FL|Silver|Black|no| 1| fleet
JTDEPRAE9LJ022450|2020|Toyota|Corolla|LE CVT|Excellent Price|$1152 off avg. list price|13999|10267|Newport Beach|CA|White|Unknown|no| 1| personal
3FA6P0CD0KR233938|2019|Ford|Fusion|SEL FWD|Excellent Price|$2523 off avg. list price|10791|24686|Hollywood|FL|Black|Black|1| 1| fleet
KNMAT2MT9KP537567|2019|Nissan|Rogue|SV FWD|Excellent Price|$1971 off avg. list price|14804|27162|Fontana|CA|White|Black|no| 1| personal
3N1AB7AP4KY365425|2019|Nissan|Sentra|SV CVT|Excellent Price|$1894 off avg. list price|9900|18600|Scottsdale|AZ|Gray|Black|1|| fleet
KNDJN2A27G7831112|2016|Kia|Soul|Base Automatic|||5429|116811|Maitland|FL|Black|Black|1| 1| personal
3N1AB7AP0KL626238|2019|Nissan|Sentra|SV CVT|Excellent Price|$1196 off avg. list price|10990|28600|Chantilly|VA|Gray|Black|no| 1| fleet
1GAZGPFP8K1179779|2019|Chevrolet|Express Passenger|3500 LT LWB|Excellent Price|$3060 off avg. list price|19402|35210|Concord|CA|White|Gray|no| 1| personal
1GAZGPFP5K1279130|2019|Chevrolet|Express Passenger|3500 LT LWB|Excellent Price|$3233 off avg. list price|18875|28164|Farmington|NM|White|Gray|no| 1| fleet
2C4RDGCGXKR600336|2019|Dodge|Grand Caravan|SXT|Excellent Price|$2147 off avg. list price|18388|21902|Chehalis|WA|White|Black|no| 1| personal
3FA6P0LU1KR187942|2019|Ford|Fusion|Hybrid SE FWD|Excellent Price|$1960 off avg. list price|15349|18378|Chatom|AL|Gray|Unknown|1| 1| personal
KNMAT2MT0KP529843|2019|Nissan|Rogue|SV FWD|Excellent Price|$1797 off avg. list price|18552|30841|Las Cruces|NM|Gray|Black|no| 1| personal
1GAZGPFG0K1173135|2019|Chevrolet|Express Passenger|3500 LT LWB|Excellent Price|$3999 off avg. list price|19097|33375|Overland Park|KS|Silver|Gray|no| 1| personal
5YFEPRAE2LP040526|2020|Toyota|Corolla|LE CVT|Excellent Price||14487|12164|San Antonio|TX|White|Black|no| 1| personal
KNMAT2MT2KP514244|2019|Nissan|Rogue|SV FWD|Excellent Price|$1706 off avg. list price|15499|40675|North Hills|CA|White|Black|no| 1| personal
5YFEPRAE5LP065386|2020|Toyota|Corolla|LE CVT|Excellent Price|$987 off avg. list price|15579|17185|Colorado Springs|CO|Gray|Black|no| 1| personal
4T1B11HK1KU242837|2019|Toyota|Camry|LE Automatic|Excellent Price|$1396 off avg. list price|16486|31506|Fort Dodge|IA|White|Black|no| 1| personal
3FA6P0LU8KR256660|2019|Ford|Fusion|Hybrid SE FWD|Excellent Price||14997|25400|Dallas|TX|White|Unknown|no| 1| personal
3FA6P0LU9KR256733|2019|Ford|Fusion|Hybrid SE FWD|Excellent Price||14997|25509|Dallas|TX|White|Unknown|no| 1| personal
3FA6P0LU0KR180934|2019|Ford|Fusion|Hybrid SE FWD|Excellent Price|$1372 off avg. list price|15800|36159|Reno|NV|Black|Black|no| 1| personal
KNMAT2MT4KP528954|2019|Nissan|Rogue|SV FWD|Excellent Price|$1722 off avg. list price|15097|26642|Fontana|CA|Silver|Black|no| 1| personal
3C4PDDEG8KT784532|2019|Dodge|Journey|GT AWD|Excellent Price|$2266 off avg. list price|20597|23863|Albuquerque|NM|White|Black|no| 1| personal
1G1PC5SB8E7102736|2014|Chevrolet|Cruze|LT with 1LT Automatic|Excellent Price|$1089 off avg. list price|5000|96954|Palm Coast|FL|White|Gray|1| 3| personal
5YFEPRAE3LP076323|2020|Toyota|Corolla|LE CVT|Excellent Price||15499|7209|Boerne|TX|Silver|Black|no| 1| personal
3N1AB7AP5KL608429|2019|Nissan|Sentra|SV CVT|Excellent Price|$991 off avg. list price|13030|35620|Fresno|CA|Black|Black|no| 1| personal
2C4RDGCG6KR600687|2019|Dodge|Grand Caravan|SXT|Excellent Price|$1902 off avg. list price|15500|37605|Albany|OR|Gray|Black|1| 1| personal
1GAZGPFP7K1277864|2019|Chevrolet|Express Passenger|3500 LT LWB|Excellent Price|$2857 off avg. list price|19190|25351|Farmington|NM|White|Gray|no| 1| fleet
JTDEPRAE4LJ028091|2020|Toyota|Corolla|LE CVT|Excellent Price|$1079 off avg. list price|14988|17173|Oklahoma City|OK|Silver|Unknown|no| 1| personal
3N1AB7AP0KY344121|2019|Nissan|Sentra|SR CVT|Excellent Price|$1388 off avg. list price|11900|10406|Fredericksburg|VA|Black|Black|1| 1| personal
2C4RDGCG1KR661719|2019|Dodge|Grand Caravan|SXT|Excellent Price|$1310 off avg. list price|14350|45611|Jacksonville|NC|White|Black|no| 1| personal
3N1AB7AP9KY324238|2019|Nissan|Sentra|S CVT|Excellent Price|$1629 off avg. list price|12000|27321|Show Low|AZ|Silver|Black|no| 1| personal
1FADP3F24EL296319|2014|Ford|Focus|SE Sedan|||5500|98710|Kearney|MO|Red|Gray|1| 2| personal
2C4RDGCG6KR623175|2019|Dodge|Grand Caravan|SXT|Excellent Price|$1420 off avg. list price|17450|33246|Albuquerque|NM|Black|Black|no| 1| personal
2T1BURHE5HC784159|2017|Toyota|Corolla|L CVT|Excellent Price|$2325 off avg. list price|9900|64968|Wilson|NC|Black|Gray|no| 3| personal
4T1B11HK5KU237334|2019|Toyota|Camry|SE Automatic|Excellent Price|$2213 off avg. list price|19950|36508|Manhattan|KS|White|Black|no| 1| fleet
1VWCN7A32EC044701|2014|Volkswagen|Passat|TDI SEL Premium Sedan DSG|Excellent Price|$2009 off avg. list price|10495|47784|Saddle Brook|NJ|White|Black|1| 3| personal
3N1AB7AP5KL625926|2019|Nissan|Sentra|SV CVT|Excellent Price|$943 off avg. list price|13150|33173|Fresno|CA|Black|Black|no| 1| personal
5YFEPRAEXLP047434|2020|Toyota|Corolla|LE CVT|Excellent Price||14000|18725|Boerne|TX|White|Black|no| 1| personal
3CZRU6H33HM713409|2017|Honda|HR-V|LX AWD CVT|||11500|46619|Richland|WA|Black|Black|1| 1| personal
WBXPC93407WF23783|2007|BMW|X3|3.0si AWD|||4950|146988|Brooklyn|NY|Black|Brown|2| 4| fleet
19XFB2F57CE055883|2012|Honda|Civic|LX Sedan Automatic|Excellent Price||4900|138989|San Antonio|TX|Silver|Gray|1| 2| fleet
3C4PDDEG9KT794762|2019|Dodge|Journey|GT AWD|Excellent Price||19897|22914|Dallas|TX|Gray|Red|no| 1| personal
2C4RDGCG6KR747379|2019|Dodge|Grand Caravan|SXT|Excellent Price|$1566 off avg. list price|18492|15767|San Leandro|CA|Silver|Black|no| 1| personal
2HGFC1E52HH706214|2017|Honda|Civic|Si Sedan Manual|Excellent Price|$2044 off avg. list price|13999|33938|San Diego|CA|White|Gray|1| 2| fleet
3N1AB7AP1KY310463|2019|Nissan|Sentra|SV CVT|Excellent Price|$750 off avg. list price|11188|26445|Tampa|FL|White|Black|no| 1| personal
3FA6P0LUXKR187387|2019|Ford|Fusion|Hybrid SE FWD|Excellent Price||13995|32777|San Antonio|TX|Gray|Gray|no| 1| personal
KMHD84LF6HU381273|2017|Hyundai|Elantra|Limited 2.0L Sedan Automatic|Excellent Price|$1946 off avg. list price|9990|49000|Lawndale|CA|Silver|Gray|2| 1| fleet
2C4RDGCG0KR706858|2019|Dodge|Grand Caravan|SXT|Excellent Price||17991|25480|Spring|TX|Gray|Black|no| 1| personal
WDDSJ4EBXEN062335|2014|Mercedes-Benz|CLA|CLA 250 FWD|Excellent Price||15991|3927|The Woodlands|TX|Silver|Beige|no| 3| personal
2HGFB2F50DH516168|2013|Honda|Civic|LX Sedan Automatic|Excellent Price|$1667 off avg. list price|8351|88615|Ocala|FL|Black|Gray|1| 2| personal
3N1AB7AP6KY425981|2019|Nissan|Sentra|SV CVT|Excellent Price|$1430 off avg. list price|12995|10707|Philadelphia|PA|Blue|Black|no| 1| fleet
5NPD74LF9HH101234|2017|Hyundai|Elantra|SE 2.0L Sedan Automatic (alt)|Excellent Price|$1141 off avg. list price|5500|115844|Fort Pierce|FL|White|Gray|no| 2| personal
3N1AB7AP5KY288306|2019|Nissan|Sentra|SV CVT|Excellent Price|$1447 off avg. list price|13992|12497|Huntington Beach|CA|Blue|Black|no| 1| personal
1N4BL4EVXKC217591|2019|Nissan|Altima|SL FWD|Excellent Price|$1753 off avg. list price|14881|35225|Maple Shade|NJ|Black|Gray|no| 1| personal
5N1AT2MT2KC742179|2019|Nissan|Rogue|S FWD|Excellent Price|$3820 off avg. list price|17998|6984|Delray Beach|FL|Silver|Unknown|no|| personal
